,AST,BLK,DREB,FG3A,FG3M,FGA,FGM,FTA,FTM,OREB,PF,STL,TO,is_home,TEAM_ID
10,23.902439024390244,4.073170731707317,35.46341463414634,38.26829268292683,14.0,89.09756097560975,41.97560975609756,22.975609756097562,17.73170731707317,10.292682926829269,17.878048780487806,7.658536585365853,13.21951219512195,False,1610612749
11,23.902439024390244,3.8780487804878048,37.46341463414634,38.58536585365854,14.121951219512194,89.70731707317073,41.65853658536585,22.902439024390244,17.853658536585368,10.195121951219512,18.5609756097561,7.536585365853658,12.268292682926829,True,1610612749
12,22.853658536585368,5.097560975609756,34.02439024390244,30.878048780487806,11.463414634146341,83.95121951219512,39.09756097560975,24.585365853658537,20.024390243902438,8.512195121951219,19.536585365853657,7.585365853658536,11.75609756097561,False,1610612755
13,24.585365853658537,5.512195121951219,33.53658536585366,32.73170731707317,11.707317073170731,85.1219512195122,39.68292682926829,23.097560975609756,19.121951219512194,8.560975609756097,19.24390243902439,7.853658536585366,11.731707317073171,True,1610612755
14,25.146341463414632,6.2439024390243905,34.292682926829265,32.073170731707314,10.853658536585366,94.39024390243902,42.51219512195122,24.48780487804878,18.0,15.0,20.5609756097561,9.829268292682928,12.951219512195122,False,1610612763
15,26.829268292682926,6.7560975609756095,35.78048780487805,33.26829268292683,12.195121951219512,94.34146341463415,44.58536585365854,21.804878048780488,15.975609756097562,13.24390243902439,18.951219512195124,9.682926829268293,12.0,True,1610612763
16,25.878048780487806,5.341463414634147,31.26829268292683,40.73170731707317,14.951219512195122,91.70731707317073,42.8780487804878,22.48780487804878,17.73170731707317,11.146341463414634,21.951219512195124,8.902439024390244,13.731707317073171,False,1610612750
17,25.48780487804878,5.878048780487805,34.58536585365854,41.853658536585364,14.585365853658537,90.1951219512195,40.31707317073171,23.70731707317073,18.21951219512195,11.317073170731707,21.609756097560975,8.682926829268293,13.731707317073171,True,1610612750
18,21.536585365853657,4.414634146341464,31.975609756097562,33.829268292682926,11.634146341463415,91.4390243902439,39.97560975609756,21.097560975609756,16.195121951219512,13.24390243902439,18.926829268292682,9.048780487804878,11.878048780487806,False,1610612761
19,22.585365853658537,4.7560975609756095,31.975609756097562,34.65853658536585,12.24390243902439,91.21951219512195,41.292682926829265,21.5609756097561,16.170731707317074,13.463414634146341,20.26829268292683,8.951219512195122,11.414634146341463,True,1610612761
20,24.073170731707318,4.0,33.292682926829265,30.682926829268293,10.21951219512195,87.02439024390245,38.97560975609756,24.414634146341463,19.048780487804876,11.78048780487805,19.536585365853657,8.512195121951219,13.365853658536585,False,1610612740
21,25.853658536585368,4.0,33.19512195121951,33.4390243902439,11.073170731707316,88.8780487804878,41.36585365853659,22.0,17.5609756097561,12.146341463414634,19.78048780487805,8.073170731707316,13.195121951219512,True,1610612740
22,21.317073170731707,4.512195121951219,34.53658536585366,39.8780487804878,14.21951219512195,85.70731707317073,39.58536585365854,22.048780487804876,17.048780487804876,11.024390243902438,18.21951219512195,7.585365853658536,13.365853658536585,False,1610612762
23,23.463414634146343,5.2926829268292686,36.58536585365854,40.80487804878049,14.853658536585366,86.65853658536585,41.5609756097561,24.682926829268293,18.804878048780488,10.536585365853659,19.51219512195122,6.7560975609756095,12.951219512195122,True,1610612762
